model_tag,n_col,R_mean,R_std,R_n_seeds,R_lo_2.5pct,R_hi_97.5pct
bloom7b,3.0,0.8766876898365491,8.638181828272771e-05,3,0.8765832749218369,0.8767836135252135
bloom_3b,2.0,1.5366963601770383,0.0009917464286656678,20,1.5346770212592988,1.5382136666346824
bloom_560m,1.0,0.7780193989929101,0.005630494646808303,26,0.7673963127116851,0.781151791574531
bloom_7b,3.0,0.8766308630237146,0.00019959132399893436,30,0.8762958023843119,0.8770007507997623
falcon7b,1.0,1.3089264215639649,0.00021081232053264527,18,1.308521321848874,1.3092310460194174
mistral7b,29.0,2.5353125576203817,0.0013684147115127577,95,2.5328415945937026,2.5380622366197705
neo13b,1.0,2.1275363212597234,0.00019560418527532838,3,2.127332733818617,2.127780927964124
neo_125m,2.0,2.5720005410804228,0.00012047246418682675,21,2.571749257017207,2.572173529689313
neo_13b,1.0,2.1274397202954853,0.00017259641704534212,21,2.127234631885747,2.1278694984130815
olmoe_1b_7b,3.0,2.241629574684864,0.11293102937211184,69,2.041396886096119,2.4419391192133975
phi1,18.0,2.0788106189495656,0.00010421539233472732,34,2.0786397005482824,2.078992957803323
phi15,21.0,2.4482254338226017,0.0012313574813682278,107,2.4471036166603364,2.4506505307166777
phi2,29.0,1.7549779737953137,0.000123097586446468,20,1.7547920367625442,1.7552308955897764
progen2_large,31.0,0.296309369545756,0.0002375183763132923,3,0.2959983257817213,0.29649089420483665
py12b,30.0,2.4696284359923957,0.008377868754952316,29,2.454540644485589,2.4882767266966384
py14b,20.0,2.3943707126304066,0.01616809898358711,99,2.3578221037148035,2.412822415796986
py14b_x,20.0,2.3925147581436463,0.014764902298265836,3,2.373286770578838,2.4053053846765384
py160m,8.0,1.6866987515937395,0.033232652979613184,115,1.621769234995585,1.7231240675336092
py1b,12.0,2.4682936720979356,0.003121463335477885,117,2.465172849048373,2.4724335476527375
py28b,28.0,2.2746937239771454,0.001846160495257426,109,2.272731018768582,2.2791223450429183
py410m,19.0,1.7010576523287384,0.0019408939862875486,105,1.6974301810933117,1.704019361178158
py69b,28.0,2.93041811444002,0.003461811594213448,70,2.9233349130767468,2.93711026276403
py70m,3.0,0.7325846535588876,0.011358889442754656,120,0.7085642688078081,0.7514967700615038
pythia1b,12.0,2.47183305542775,0.0003688278394528919,3,2.4715187949402964,2.4723140551247202
qwen_3b,5.0,1.025616254634393,2.8237024313987348e-05,35,1.0255573028798874,1.025660765548334
qwen_7b,24.0,7.433704985458245,0.0003001742753068661,25,7.433245161605818,7.434238927534028
qwen_moe_a27,22.0,3.0165795053768054,0.02315419904997169,75,2.976288112975209,3.061138305387616
smol2,8.0,1.4818642747168853,0.0010027034318981466,5,1.4803369092700955,1.4829068680666329
smol2_1b7,8.0,1.4885143302611565,0.009270368262638877,3,1.4780964977833169,1.499626831301752
smol_135,7.0,2.825118859557182,0.11788636758219805,111,2.6234200576632034,2.9220787224586906
smol_17,8.0,1.480040208430186,0.02054484435627292,104,1.4301983089126111,1.5196308033095975
smol_360,1.0,0.7072868583040253,0.001946272086190555,52,0.7023557081082998,0.7094355068307565
stablelm,11.0,0.994760525524029,0.22838549491421464,92,0.7012651097564553,1.1800430347085573
stablelm_x,11.0,1.168713255962927,0.003242169373485243,3,1.1644685195164703,1.171089382886649
tinyllama,14.0,2.213896509233744,0.013180575297463285,117,2.1990219137579654,2.227722555514046
yi6b,8.0,2.1154347932698725,0.002445754897163447,38,2.1113809967347223,2.1196456531931096
zamba2_1_2b,1.0,0.6222612284878878,1.3178078521766293e-05,33,0.6222398091545065,0.622285198725812
