scale,step,ablation_type,R_mean,R_std,n_seeds
py160m,10000,fifth,0.8612509616254491,0.00024545751999583955,3
py70m,3000,second,0.04445648780740149,0.00013649520606704327,3
py410m,40000,none,1.0,0.0,3
py69b,16000,leading,2.127668269684249,6.204027075628065e-05,7
py28b,75000,none,1.0,0.0,3
py160m,10000,second,0.3956592060305611,4.251797446969446e-05,3
py70m,100000,leading,1.0565906337127777,0.0001458079057020064,15
py70m,10000,leading,1.6533540239349676,7.956132966138351e-05,5
py69b,11000,none,1.0,0.0,2
py160m,10000,random,2.723778584569292,2.582758704892181,3
py28b,17000,leading,2.273803744429833,0.0003070493408273788,5
py69b,100000,leading,2.6930734147626376,0.0014671131458330754,5
py410m,22000,leading,1.9475366350851826,0.00010992808357461657,8
py410m,100000,random,0.20512889503730003,1.989123542290683,4
py14b,16000,second,2.0072653947142145,0.0002846693741752262,3
py160m,8,none,1.0,0.0,3
py14b,18000,none,1.0,0.0,3
py410m,60000,leading,1.9730454765381733,9.106600550994401e-05,3
py28b,22000,random,0.8220277319767588,1.8946365100672813,5
py410m,30000,random,0.05121263564854717,1.6357352571666894,4
py160m,1,none,1.0,0.0,3
py410m,110000,none,1.0,0.0,3
py160m,8000,fifth,0.6509862661214214,0.00023428871698211743,3
py1b,60000,none,1.0,0.0,3
py69b,19000,leading,2.3823196400934585,8.982829099563786e-05,5
py410m,50000,random,0.32801769735684744,1.1481493559207894,3
py14b,2,none,1.0,0.0,3
py28b,35000,leading,2.273824300318076,0.00037666985532975775,3
py70m,8,none,1.0,0.0,3
py28b,50000,none,1.0,0,1
py28b,4000,random,0.8220277319767588,1.8946365100672813,5
py28b,8000,random,0.8220277319767588,1.8946365100672813,5
py70m,30000,leading,1.4256361542187268,6.730413175087227e-05,15
py160m,8000,random,3.0419147566623828,3.737168444683367,3
py28b,5000,leading,2.2738351228925477,0.00028894484080980385,6
py410m,28000,leading,1.6778241702957724,7.685527195367199e-05,3
py28b,8000,leading,2.2737856582710383,0.00035062576971032794,7
py69b,16000,fifth,0.4873235364095953,0.00022577939358097685,3
py28b,2000,leading,2.2738661713467847,0.00031313205076997046,6
py69b,30000,leading,2.9422631519531026,0.00010461067360136225,6
py160m,30000,leading,1.1955701624049637,4.909600246036724e-05,10
py410m,9000,leading,1.2760493169568692,6.975551304668052e-05,3
py1b,45000,leading,2.846813337702244,5.8787475002510285e-05,5
py69b,50000,second,3.9515673311981185,0.0011448374699474212,3
py14b,16000,fifth,0.2327184806904358,0.000283163640801465,3
py69b,6000,leading,1.258644483287518,1.0584221045606412e-05,2
py410m,143000,leading,1.7026380955418112,0.00014000444394921818,18
py410m,125000,leading,1.7346985300184097,3.0757120201676544e-05,3
py1b,32,none,1.0,0.0,2
py410m,10000,leading,1.4369700345703549,0.00014414086120345353,5
py70m,30000,random,0.38638643777743903,2.2479999556469257,6
py1b,19000,leading,1.810937970186925,4.7459417431949827e-05,5
py14b,60000,leading,1.9076158162506105,0.00016975473404900709,5
py14b,110000,leading,2.3284174471432335,0.003187638250004276,5
py14b,125000,none,1.0,0.0,3
